ID,F16,F17,F18,F19,F20,F23,F24,F25
441187,1,1,2,有,有,坡道平面,45.95000076,0
441188,5,2,3,有,有,,0,0
441189,5,2,4,有,有,,0,0
441190,3,2,2,有,有,,0,0
441191,3,2,2,有,有,,0,0
441192,3,2,2,有,有,,0,0
441193,3,2,2,有,有,,0,0
441194,5,2,5,有,有,,0,0
441195,3,2,2,有,有,坡道平面,0,0
441196,4,2,2,有,有,坡道平面,0,0
441197,0,0,0,有,有,坡道平面,30.04000092,450000
441198,3,2,2,有,有,,0,0
441199,0,0,0,有,有,坡道平面,29.28000069,500000
441200,3,2,1,有,無,,0,0
441201,3,2,2,有,有,,0,0
441202,2,2,1,有,有,坡道平面,0,0
441203,3,2,2,有,無,,0,0
441204,2,2,2,有,有,坡道平面,0,0
441205,3,1,1,有,無,,0,0
441206,3,2,2,有,無,坡道機械,0,0
441207,10,1,0,有,無,,0,0
441208,3,2,2,有,無,,0,0
441209,3,2,2,有,有,坡道平面,19.64999962,800000
441210,3,2,2,有,有,坡道機械,19.63999939,1000000
441211,3,2,2,有,有,坡道平面,19.64999962,800000
441212,3,2,2,有,有,坡道平面,19.64999962,800000
441213,3,2,2,有,有,坡道平面,19.64999962,800000
441214,3,2,2,有,有,坡道平面,19.64999962,800000
441215,0,0,0,有,無,,0,0
441216,3,1,1,有,無,,0,0
441217,0,1,1,有,有,,0,0
441218,0,0,0,有,無,,0,0
441219,3,2,2,有,有,坡道平面,0,0
441220,3,2,2,有,有,坡道平面,0,0
441221,4,2,1,有,無,,0,0
441222,4,2,2,有,無,,0,0
441223,4,2,2,有,有,,0,0
441224,3,2,1,有,無,,0,0
441225,3,2,2,有,有,坡道平面,41.38000107,0
441226,2,1,1,有,無,,0,0
441227,3,2,2,有,無,,0,0
441228,3,1,1,有,無,,0,0
441229,5,4,6,有,有,一樓平面,30.52000046,0
441230,5,2,3,有,無,,0,0
441231,0,0,0,無,無,坡道平面,41.84000015,500000
441232,3,2,2,有,有,,0,0
441233,2,1,1,有,無,,0,0
441234,0,0,0,無,有,,0,0
441235,0,0,0,無,有,坡道平面,127.6999969,0
441236,1,1,1,有,有,,0,0
441237,3,2,2,有,有,,0,0
441238,3,2,2,有,無,,0,0
441239,3,2,2,有,無,坡道平面,28.62000084,900000
441240,3,1,1,有,無,,0,0
441241,3,2,2,有,有,,0,0
441242,2,2,2,有,無,,0,0
441243,0,0,0,有,無,,0,0
441244,2,2,1,有,有,,0,0
441245,3,2,2,有,無,,0,0
441246,2,2,1,有,有,,0,0
441247,3,2,4,有,無,,0,0
441248,3,2,2,有,無,,0,0
441249,4,2,2,有,有,坡道平面,0,0
441250,3,1,2,有,無,,0,0
441251,1,1,2,有,有,,0,0
441252,4,2,3,有,有,,0,0
441253,0,0,0,有,無,,0,0
441254,3,1,1,有,有,,0,0
441255,0,0,1,有,無,,0,0
441256,0,2,1,有,無,,0,0
441257,3,2,1,有,無,,0,0
441258,3,2,2,有,無,,0,0
441259,4,2,2,有,有,,0,0
441260,4,4,2,有,有,坡道平面,41.61000061,0
441261,0,0,1,無,無,,0,0
441262,2,1,1,有,有,,0,0
441263,2,1,1,有,有,坡道平面,0,0
441264,1,0,1,有,有,,0,0
441265,1,1,1,有,有,,0,0
441266,5,3,5,有,有,,0,0
441267,4,2,2,有,有,,0,0
441268,2,2,1,有,有,,0,0
441269,3,2,1,有,無,,0,0
441270,2,1,1,有,無,,0,0
441271,3,2,2,有,有,,0,0
441272,4,1,2,有,無,,0,0
441273,3,2,1,有,無,,0,0
441274,3,2,2,有,有,,0,0
441275,2,1,1,有,無,,0,0
441276,2,1,2,有,無,,0,0
441277,1,1,1,有,無,,0,0
441278,4,2,2,有,無,,0,0
441279,3,1,2,有,無,,0,0
441280,3,1,1,有,無,,0,0
441281,0,0,0,有,有,坡道平面,35.70999908,580000
441282,0,0,0,有,有,坡道平面,41.38000107,400000
441283,2,1,2,有,有,坡道平面,73.05999756,800000
441284,3,1,1,有,有,,0,0
441285,4,2,2,有,無,,0,0
441286,3,2,1,有,有,,0,0
441287,2,1,2,有,無,,0,0
441288,3,2,2,有,有,坡道平面,0,0
441289,3,1,1,有,無,,0,0
441290,3,2,2,有,有,,0,0
441291,3,2,1,有,無,,0,0
441292,5,2,2,有,無,,0,0
441293,0,0,0,無,無,,0,0
441294,3,2,2,有,有,坡道平面,41.38000107,0
441295,2,1,1,有,有,,0,0
441296,2,1,1,有,有,坡道平面,34.47000122,0
441297,3,2,2,有,有,,0,0
441298,4,3,4,有,有,,0,0
441299,3,2,2,有,無,,0,0
441300,3,1,1,有,無,,0,0
441301,7,2,5,有,無,,0,0
441302,3,2,2,有,有,,0,0
441303,2,1,1,有,無,,0,0
441304,0,0,0,無,無,,0,0
441305,3,2,2,有,有,,0,0
441306,3,2,2,有,無,坡道平面,0,0
441307,2,2,1,有,無,,0,0
441308,3,2,2,有,有,,0,0
441309,0,0,1,無,有,,0,0
441310,0,0,0,有,無,,0,0
441311,2,2,1,有,有,坡道平面,28.62000084,0
441312,3,2,1,有,有,升降機械,0,0
441313,3,1,2,有,有,,0,0
441314,3,2,3,有,無,,0,0
441315,1,1,1,有,無,,0,0
441316,3,2,2,有,有,,0,0
441317,0,0,0,有,無,,0,0
441318,0,0,0,有,無,,0,0
441319,2,1,1,有,無,,0,0
441320,2,2,1,有,無,,0,0
441321,0,0,0,無,無,其他,29.96999931,700000
441322,0,0,0,無,無,,0,0
441323,3,2,3,有,有,,0,0
441324,3,2,1,有,無,,0,0
441325,4,2,2,有,有,,0,0
441326,4,2,2,有,有,坡道平面,19.64999962,800000
441327,3,2,2,有,有,,0,0
441328,1,1,1,有,有,,0,0
441329,0,0,0,有,無,,0,0
441330,2,2,1,有,有,,0,0
441331,2,1,2,有,無,,0,0
441332,1,2,1,有,有,,0,0
441333,3,2,2,有,無,,0,0
441334,3,2,2,有,有,升降機械,0,0
441335,0,0,0,有,無,坡道機械,20.77000046,455000
441336,3,2,1,有,無,,0,0
441337,5,5,5,有,無,一樓平面,0,0
441338,3,1,2,有,有,坡道平面,32.09999847,0
441339,3,2,2,有,有,,0,0
441340,2,1,1,有,有,,0,0
441341,4,2,2,有,有,,0,0
441342,3,2,2,有,有,,0,0
441343,3,2,2,有,有,坡道平面,0,0
441344,3,2,2,有,無,,0,0
441345,3,2,1,有,無,,0,0
441346,5,3,3,有,有,,0,0
441347,2,2,1,有,有,,0,0
441348,3,2,2,有,有,坡道機械,19.63999939,1140000
441349,3,2,2,有,有,,0,0
441350,2,2,1,有,有,坡道平面,0,0
441351,3,2,2,有,無,,0,0
441352,3,2,2,有,有,,0,0
441353,2,2,1,有,無,,0,0
441354,0,0,0,有,無,,0,0
441355,2,1,1,有,有,,0,0
441356,3,2,2,有,有,坡道平面,0,0
441357,1,0,1,有,無,,0,0
441358,3,2,3,有,無,,0,0
441359,3,2,2,有,有,,0,0
441360,2,2,1,有,無,坡道機械,22.37999916,800000
441361,3,2,2,有,無,坡道機械,22.37999916,800000
441362,4,2,3,有,有,,0,0
441363,4,2,4,有,有,,0,0
441364,3,2,2,有,有,,0,0
441365,3,2,2,有,有,,0,0
441366,3,2,2,有,有,坡道平面,0,0
441367,3,2,1,有,無,,0,0
441368,3,2,2,有,無,,0,0
441369,4,1,1,有,無,,0,0
441370,0,0,0,無,無,,0,0
441371,4,2,2,有,有,坡道平面,14.97999954,1100000
441372,0,0,0,無,無,,0,0
441373,0,0,0,有,無,,0,0
441374,0,0,0,有,無,,0,0
441375,0,0,0,有,有,坡道平面,19.02000046,950000
441376,3,1,1,有,有,,0,0
441377,3,1,1,有,有,,0,0
441378,0,0,0,有,無,,0,0
441379,2,2,1,有,有,,0,0
441380,2,1,1,有,無,,0,0
441381,3,2,1,有,有,坡道平面,0,0
441382,3,1,1,有,無,,0,0
441383,2,1,1,有,無,,0,0
441384,4,2,3,有,無,,0,0
441385,4,3,2,有,無,,0,0
441386,0,0,0,有,有,坡道平面,38.09999847,870000
441387,3,2,2,有,無,坡道平面,28.62000084,900000
441388,3,2,1,有,無,,0,0
441389,3,2,2,有,有,坡道平面,22.79999924,0
441390,3,1,2,有,有,,0,0
441391,3,2,2,有,有,坡道平面,0,0
441392,2,2,2,有,有,坡道平面,0,0
441393,0,1,1,有,無,坡道平面,38.61999893,0
441394,3,2,2,有,有,,0,0
441395,3,2,2,有,無,坡道平面,28.62000084,900000
441396,8,5,5,有,有,,0,0
441397,1,1,1,有,有,,0,0
441398,5,3,2,有,無,,0,0
441399,1,3,3,有,有,坡道平面,0,0
441400,2,1,1,有,無,,0,0
441401,0,0,0,無,有,,0,0
441402,3,2,2,有,有,坡道平面,0,0
441403,4,2,2,有,無,,0,0
441404,4,2,2,有,有,坡道平面,0,0
441405,0,0,0,無,有,坡道平面,19.62000084,0
441406,0,0,0,無,有,坡道機械,19.63999939,1100000
441407,4,2,2,有,無,,0,0
441408,3,2,1,有,無,,0,0
441409,2,2,1,有,有,,0,0
441410,4,2,3,有,有,,0,0
441411,0,1,1,有,無,一樓平面,0,0
441412,3,2,1,有,有,,0,0
441413,3,2,2,有,無,,0,0
441414,3,2,1,有,有,,0,0
441415,3,2,2,有,無,,0,0
441416,3,1,2,有,無,,0,0
441417,2,2,1,有,無,,0,0
441418,3,2,2,有,有,,0,0
441419,5,2,3,有,無,一樓平面,0,0
441420,0,0,0,無,有,,0,0
441421,1,1,1,有,無,,0,0
441422,3,2,1,有,無,,0,0
441423,3,2,1,有,無,,0,0
441424,2,2,0,有,無,,0,0
441425,3,2,2,有,有,,0,0
441426,3,1,1,有,有,,0,0
441427,3,2,2,有,有,,0,0
441428,2,1,1,有,無,,0,0
441429,2,3,2,有,無,,0,0
441430,5,1,2,有,有,坡道平面,0,0
441431,4,1,1,有,無,,0,0
441432,3,2,2,有,有,坡道平面,0,0
441433,3,1,2,有,有,,0,0
441434,3,1,1,有,無,,0,0
441435,3,2,2,有,無,,0,0
441436,3,2,2,有,有,,0,0
441437,3,2,1,有,無,,0,0
441438,2,1,2,有,無,,0,0
441439,3,2,2,有,有,坡道平面,0,0
441440,3,2,2,有,有,,0,0
441441,4,2,2,有,有,升降機械,12.52000046,700000
441442,3,2,2,有,有,升降機械,12.52000046,700000
441443,1,2,1,有,有,升降機械,12.52000046,700000
441444,3,2,2,有,有,升降機械,12.52000046,700000
441445,3,2,2,有,有,,0,0
441446,0,0,0,無,無,,0,0
441447,3,2,2,有,有,坡道平面,33,0
441448,1,2,1,有,有,升降機械,12.52000046,700000
441449,3,2,2,有,有,升降機械,12.52000046,700000
441450,1,2,1,有,有,升降機械,12.52000046,700000
441451,1,2,1,有,有,升降機械,12.52000046,700000
441452,1,2,1,有,有,升降機械,12.52000046,700000
441453,4,2,3,有,無,,0,0
441454,4,2,3,有,無,,0,0
441455,3,2,2,有,有,,0,0
441456,3,1,1,有,無,,0,0
441457,1,1,1,有,有,,0,0
441458,3,2,2,有,有,,0,0
441459,3,2,2,有,無,,0,0
441460,2,1,1,有,無,,0,0
441461,3,2,2,有,有,,0,0
441462,0,0,0,有,無,,0,0
441463,0,0,0,無,無,,0,0
441464,2,1,1,有,無,,0,0
441465,3,1,2,有,無,,0,0
441466,2,2,1,有,有,,0,0
441467,1,1,1,有,有,,0,0
441468,4,2,2,有,有,,0,0
441469,0,0,0,有,無,,0,0
441470,2,1,2,有,有,坡道平面,36.52999878,400000
441471,3,2,2,有,有,,0,0
441472,3,2,2,有,無,,0,0
441473,4,2,2,有,無,,0,0
441474,4,2,3,有,無,,0,0
441475,0,0,0,有,無,,0,0
441476,3,2,2,有,有,坡道平面,40.18999863,750000
441477,6,0,6,有,無,,0,0
441478,7,3,3,有,無,,0,0
441479,2,2,2,有,有,,0,0
441480,3,1,1,有,有,,0,0
441481,3,2,2,有,無,,0,0
441482,3,2,2,有,有,,0,0
441483,1,1,1,有,有,,0,0
441484,1,1,1,有,無,,0,0
441485,4,1,2,有,有,坡道機械,0,0
441486,2,2,1,有,無,,0,0
441487,2,2,1,有,無,,0,0
441488,2,1,1,有,有,,0,0
441489,3,2,1,有,有,,0,0
441490,3,2,2,有,有,,0,0
441491,2,1,1,有,無,,0,0
441492,3,1,1,有,無,,0,0
441493,3,2,2,有,有,,0,0
441494,2,1,1,有,無,,0,0
441495,3,2,2,有,無,,0,0
441496,3,2,2,有,有,坡道平面,0,0
441497,3,2,1,有,無,,0,0
441498,3,1,1,有,無,其他,0,0
441499,4,2,3,有,有,,0,0
441500,4,2,2,有,有,坡道平面,0,0
441501,3,1,1,有,無,,0,0
441502,3,1,1,有,有,,0,0
441503,0,0,0,無,無,,0,0
441504,0,0,0,有,無,,0,0
441505,0,0,0,有,有,坡道平面,41.61000061,350000
441506,3,2,1,有,無,,0,0
441507,3,1,1,有,無,,0,0
441508,0,0,0,有,無,,0,0
441509,3,2,2,有,有,,0,0
441510,2,1,1,有,有,,0,0
441511,3,2,2,有,無,,0,0
441512,3,2,2,有,無,,0,0
441513,4,2,2,有,無,,0,0
441514,4,4,4,有,無,,0,0
441515,0,0,0,有,有,坡道平面,35.40999985,400000
441516,3,2,2,有,有,坡道機械,19.63999939,900000
441517,3,2,2,有,有,坡道平面,19.64999962,800000
441518,4,2,2,有,無,,0,0
441519,3,2,2,有,有,,0,0
441520,3,2,2,有,有,,0,0
441521,3,2,2,有,有,坡道平面,29.28000069,0
441522,3,1,1,有,無,,0,0
441523,3,2,2,有,有,,0,0
441524,4,2,2,有,無,,0,0
441525,2,2,1,有,無,,0,0
441526,3,2,2,有,無,坡道平面,32.04000092,950000
441527,3,2,2,有,無,坡道平面,28.62000084,900000
441528,3,2,2,有,無,,0,0
441529,3,1,1,有,無,坡道平面,0,0
441530,0,0,0,有,無,,0,0
441531,3,2,2,有,有,,0,0
441532,3,2,2,有,有,,0,0
441533,1,2,1,有,有,,0,0
441534,3,2,2,有,有,,0,0
441535,2,1,1,有,有,坡道平面,0,0
441536,3,2,2,有,有,坡道平面,36.54000092,0
441537,4,2,2,有,有,,0,0
441538,3,2,2,有,無,,0,0
441539,4,2,2,有,有,,0,0
441540,1,1,1,有,有,,0,0
441541,0,0,0,無,有,,0,0
441542,3,2,2,有,有,,0,0
441543,1,1,1,有,有,,0,0
441544,3,2,2,有,無,,0,0
441545,3,2,2,有,有,,0,0
441546,3,2,2,有,有,,0,0
441547,3,2,2,有,無,,0,0
441548,3,2,1,有,無,,0,0
441549,0,0,0,有,無,坡道平面,29.65999985,450000
441550,0,0,0,有,無,,0,0
441551,2,1,1,有,有,,0,0
441552,3,2,2,有,有,,0,0
441553,3,2,1,有,有,坡道平面,0,0
441554,3,2,2,有,無,,0,0
441555,2,1,1,有,無,,0,0
441556,2,1,1,有,無,,0,0
441557,2,1,1,有,有,坡道平面,0,0
441558,3,2,2,有,有,,0,0
441559,3,2,2,有,無,,0,0
441560,3,2,2,有,有,,0,0
441561,3,2,1,有,有,,0,0
441562,3,2,2,有,有,,0,0
441563,3,2,2,有,有,,0,0
441564,3,2,2,有,有,,0,0
441565,3,2,2,有,無,,0,0
441566,2,1,1,有,無,,0,0
441567,0,0,0,有,無,,0,0
441568,2,2,1,有,有,,0,0
441569,3,2,2,有,無,,0,0
441570,3,1,1,有,無,,0,0
441571,3,2,2,有,有,,0,0
441572,3,2,2,有,無,,0,0
441573,3,2,2,有,有,坡道平面,36.84000015,0
441574,3,2,2,有,有,,0,0
441575,3,1,1,有,有,,0,0
441576,1,0,1,有,有,,0,0
441577,3,2,2,有,無,,0,0
441578,0,0,0,無,無,,0,0
441579,0,0,0,有,無,,0,0
441580,2,2,1,有,無,,0,0
441581,3,1,1,有,無,,0,0
441582,0,0,0,有,無,,0,0
441583,0,0,0,無,無,,0,0
441584,4,2,2,有,有,坡道機械,19.63999939,900000
441585,3,1,2,有,有,坡道平面,0,0
441586,3,2,2,有,無,,0,0
441587,0,0,0,有,無,坡道平面,30.46999931,650000
441588,8,2,2,有,無,,0,0
441589,3,2,2,有,有,坡道平面,0,0
441590,0,0,0,有,有,坡道平面,32.88000107,187000
441591,7,2,2,有,有,坡道平面,31.14999962,0
441592,3,2,2,有,無,,0,0
441593,4,1,2,有,有,,0,0
441594,0,0,0,無,無,其他,29.97999954,600000
441595,2,1,1,有,有,,0,0
441596,3,2,2,有,無,,0,0
441597,3,2,2,有,無,,0,0
441598,3,2,2,有,無,,0,0
441599,2,1,1,有,有,,0,0
441600,3,1,1,有,有,,0,0
441601,2,1,2,有,無,,0,0
441602,4,4,4,有,無,一樓平面,30,0
441603,3,2,2,有,有,,0,0
441604,1,1,1,有,無,,0,0
441605,0,0,0,有,有,坡道平面,36.52999878,400000
441606,3,1,2,有,有,坡道平面,0,0
441607,3,2,2,有,有,坡道平面,0,0
441608,3,2,2,有,無,,0,0
441609,4,2,2,有,無,,0,0
441610,4,2,2,有,有,,0,0
441611,2,2,1,有,無,,0,0
441612,2,2,1,有,無,坡道平面,0,0
441613,4,2,3,有,無,一樓平面,0,0
441614,3,2,2,有,無,,0,0
441615,2,1,1,有,有,,0,0
441616,2,2,1,有,有,,0,0
441617,2,2,1,有,無,,0,0
441618,0,0,0,有,有,坡道平面,34.99000168,400000
441619,3,2,2,有,有,,0,0
441620,3,2,2,有,有,坡道機械,0,0
441621,4,2,3,有,無,,0,0
441622,3,2,1,有,無,,0,0
441623,0,0,0,有,無,,0,0
441624,3,1,2,有,有,坡道平面,33.11000061,0
441625,0,0,0,有,無,,0,0
441626,3,2,1,有,無,,0,0
441627,3,2,1,有,無,,0,0
441628,0,0,0,有,無,,0,0
441629,3,2,2,有,有,,0,0
441630,3,1,2,有,有,升降機械,0,0
441631,4,2,3,有,無,,0,0
441632,0,0,0,無,無,,0,0
441633,0,0,0,有,無,,0,0
441634,2,1,1,有,有,,0,0
441635,3,1,1,有,有,,0,0
441636,0,0,0,有,有,坡道平面,48.95999908,370000
441637,0,0,0,無,無,,0,0
441638,4,2,2,有,有,坡道平面,34.16999817,0
441639,2,1,1,有,無,,0,0
441640,2,1,1,有,無,,0,0
441641,5,3,2,有,無,,0,0
441642,3,2,2,有,有,,0,0
441643,4,2,2,有,有,,0,0
441644,3,2,2,有,有,,0,0
441645,3,1,2,有,無,,0,0
441646,1,1,1,有,有,,0,0
441647,2,1,1,有,無,,0,0
441648,5,3,3,有,有,,0,0
441649,3,2,1,有,有,,0,0
441650,4,2,2,有,無,,0,0
441651,0,0,0,無,無,,0,0
441652,4,2,2,有,有,升降機械,16.29000092,400000
441653,2,3,3,有,無,,0,0
441654,4,2,2,有,有,,0,0
441655,2,2,1,有,有,,0,0
441656,3,2,2,有,有,,0,0
441657,3,2,1,有,無,,0,0
441658,3,2,2,有,有,坡道平面,32.04000092,0
441659,3,2,2,有,無,,0,0
441660,2,2,2,有,無,,0,0
441661,4,3,3,有,有,,0,0
441662,2,1,1,有,無,,0,0
441663,2,1,1,有,有,,0,0
441664,3,2,1,有,無,,0,0
441665,2,3,2,有,無,,0,0
441666,2,2,1,有,無,,0,0
441667,4,2,2,有,有,,0,0
441668,3,3,4,有,無,,0,0
441669,3,2,2,有,有,,0,0
441670,3,2,1,有,無,,0,0
441671,3,2,2,有,有,坡道平面,19.64999962,800000
441672,3,2,2,有,有,坡道機械,19.63999939,1050000
441673,3,2,2,有,有,,0,0
441674,3,2,1,有,無,,0,0
441675,1,1,1,有,無,,0,0
441676,2,2,3,有,無,,0,0
441677,0,0,0,有,無,,0,0
441678,3,2,2,有,有,,0,0
441679,3,2,2,有,無,,0,0
441680,3,2,1,有,無,,0,0
441681,3,2,2,有,有,,0,0
441682,3,1,1,有,無,,0,0
441683,2,1,2,有,有,,0,0
441684,0,0,0,無,無,,0,0
441685,5,2,2,有,無,,0,0
441686,2,3,2,有,有,,0,0
441687,3,1,1,有,有,,0,0
441688,0,0,0,有,無,,0,0
441689,3,2,2,有,有,坡道平面,28.13999939,0
441690,3,2,1,有,無,,0,0
441691,2,1,2,有,無,,0,0
441692,3,2,2,有,有,,0,0
441693,0,0,0,無,無,,0,0
441694,4,2,2,有,無,,0,0
441695,0,0,0,無,無,,0,0
441696,0,0,0,有,無,,0,0
441697,0,0,0,有,無,,0,0
441698,4,2,2,有,有,坡道平面,90.87999725,1500000
441699,2,1,1,有,有,,0,0
441700,3,2,2,有,無,,0,0
441701,3,3,2,有,無,,0,0
441702,0,0,0,有,無,,0,0
441703,0,0,0,有,無,,0,0
441704,0,0,0,有,無,,0,0
441705,2,2,1,有,有,,0,0
441706,3,2,1,有,無,,0,0
441707,0,0,0,有,無,,0,0
441708,2,1,2,有,有,坡道平面,38.72000122,400000
441709,2,1,1,有,有,,0,0
441710,3,2,2,有,有,,0,0
441711,3,2,2,有,有,坡道平面,19.64999962,800000
441712,4,2,2,有,有,升降機械,15.40999985,400000
441713,0,0,0,有,無,,0,0
441714,0,0,0,有,無,,0,0
441715,2,1,2,有,有,,0,0
441716,0,0,0,有,有,坡道平面,38.72000122,400000
441717,3,2,2,有,無,,0,0
441718,4,1,3,有,無,,0,0
441719,1,0,1,有,有,,0,0
441720,3,1,1,有,無,,0,0
441721,3,2,2,有,有,,0,0
441722,4,2,2,有,有,坡道平面,36.84000015,0
441723,3,2,2,有,有,,0,0
441724,3,2,1,有,無,,0,0
441725,3,2,2,有,無,,0,0
441726,4,2,2,有,無,,0,0
441727,2,1,1,有,無,,0,0
441728,4,3,2,有,有,坡道平面,39.29999924,0
441729,3,2,2,有,有,,0,0
441730,3,2,2,有,有,升降機械,12.52000046,700000
441731,1,2,1,有,有,,0,0
441732,1,2,1,有,有,升降機械,12.52000046,700000
441733,5,2,6,有,無,,0,0
441734,3,2,2,有,有,,0,0
441735,3,2,3,有,有,,0,0
441736,3,1,1,有,無,,0,0
441737,3,2,2,有,無,,0,0
441738,3,2,3,有,有,,0,0
441739,0,0,1,有,有,,0,0
441740,3,2,1,有,無,,0,0
441741,5,2,6,有,無,,0,0
441742,3,1,2,有,無,,0,0
441743,2,1,1,有,無,,0,0
441744,3,2,2,有,有,坡道平面,0,0
441745,3,2,1,有,有,,0,0
441746,2,1,1,有,無,,0,0
441747,0,0,0,無,無,,0,0
441748,3,2,2,有,無,,0,0
441749,4,1,1,有,無,,0,0
441750,3,2,2,有,有,,0,0
441751,0,0,0,有,無,,0,0
441752,2,2,1,有,無,,0,0
441753,3,1,1,有,無,,0,0
441754,2,1,1,有,無,,0,0
441755,0,0,0,有,無,,0,0
441756,3,2,2,有,有,坡道平面,0,0
441757,0,0,0,有,有,坡道平面,34.16999817,280000
441758,4,2,2,有,有,坡道平面,34.16999817,0
441759,4,2,2,有,有,坡道平面,34.16999817,0
441760,3,1,2,有,有,坡道平面,0,0
441761,3,2,1,有,無,,0,0
441762,2,2,1,有,無,,0,0
441763,3,1,1,有,無,,0,0
441764,3,2,1,有,無,,0,0
441765,2,2,1,有,有,,0,0
441766,3,2,2,有,有,坡道平面,28.13999939,0
441767,0,0,0,有,無,,0,0
441768,0,0,0,有,無,,0,0
441769,3,2,2,有,有,,0,0
441770,3,2,1,有,無,,0,0
441771,3,2,2,有,有,坡道平面,0,0
441772,2,1,1,有,無,,0,0
441773,3,2,1,有,無,,0,0
441774,3,2,3,有,有,,0,0
441775,0,0,0,有,無,坡道平面,35.45000076,450000
441776,0,0,0,有,無,,0,0
441777,0,0,0,有,無,,0,0
441778,0,0,0,有,無,,0,0
441779,0,0,0,有,無,,0,0
441780,3,2,1,有,無,,0,0
441781,3,2,2,有,無,坡道平面,64.08000183,1800000
441782,3,2,1,有,無,,0,0
441783,2,1,2,有,有,坡道平面,0,0
441784,2,1,1,有,有,,0,0
441785,4,2,2,有,無,,0,0
441786,0,0,0,有,無,,0,0
441787,3,2,2,有,有,,0,0
441788,2,2,1,有,有,,0,0
441789,3,2,2,有,無,,0,0
441790,2,2,2,有,無,,0,0
441791,3,2,1,有,無,,0,0
441792,1,1,1,有,無,,0,0
441793,2,2,2,有,無,,0,0
441794,34,3,37,有,無,,0,0
441795,3,2,2,有,有,坡道平面,19.64999962,900000
441796,3,2,2,有,有,坡道平面,19.64999962,850000
441797,3,2,2,有,有,,0,0
441798,3,2,1,有,無,,0,0
441799,2,1,2,有,無,,0,0
441800,5,2,3,有,無,,0,0
441801,3,2,2,有,無,,0,0
441802,4,2,2,有,有,坡道平面,0,0
441803,4,2,2,有,有,,0,0
441804,2,1,1,有,有,,0,0
441805,3,2,2,有,無,,0,0
441806,3,2,1,有,無,,0,0
441807,2,1,1,有,有,,0,0
441808,3,2,2,有,無,,0,0
441809,2,2,1,有,無,,0,0
441810,3,2,2,有,有,,0,0
441811,2,2,1,有,有,,0,0
441812,2,1,1,有,有,,0,0
441813,3,2,2,有,無,,0,0
441814,5,2,1,有,無,,0,0
441815,2,1,2,有,無,,0,0
441816,1,2,1,有,無,,0,0
441817,3,0,1,有,無,,0,0
441818,3,1,2,有,有,,0,0
441819,3,2,2,有,有,,0,0
441820,3,2,1,有,無,,0,0
441821,1,1,1,有,無,,0,0
441822,0,0,0,有,無,,0,0
441823,4,2,2,有,無,,0,0
441824,4,1,2,有,無,,0,0
441825,1,1,1,有,有,,0,0
441826,2,2,1,有,有,,0,0
441827,3,2,2,有,有,,0,0
441828,2,2,1,有,有,,0,0
441829,3,0,1,有,無,,0,0
441830,1,2,2,有,有,,0,0
441831,3,2,2,有,有,,0,0
441832,0,0,0,有,無,其他,29.97999954,600000
441833,4,2,2,有,無,,0,0
441834,0,0,0,無,無,其他,29.97999954,600000
441835,3,2,2,有,無,坡道平面,31.97999954,1200000
441836,3,2,2,有,無,坡道平面,31.97999954,1100000
441837,3,2,2,有,無,坡道平面,31.97999954,950000
441838,3,2,2,有,無,坡道平面,63.95000076,2200000
441839,3,2,2,有,無,坡道平面,95.93000031,2850000
441840,6,2,2,有,有,,0,0
441841,3,2,2,有,有,,0,0
441842,5,3,2,有,有,坡道平面,0,0
441843,0,0,0,有,無,,0,0
441844,2,2,1,有,無,,0,0
441845,3,2,2,有,有,,0,0
441846,2,1,2,有,有,,0,0
441847,3,2,1,有,無,,0,0
441848,4,2,2,有,有,坡道平面,0,0
441849,3,2,2,有,無,,0,0
441850,4,2,2,有,有,坡道平面,0,0
441851,4,3,3,有,無,,0,0
441852,3,2,2,有,無,,0,0
441853,3,2,2,有,有,,0,0
441854,3,2,1,有,無,,0,0
441855,2,2,1,有,無,,0,0
441856,4,2,2,有,有,,0,0
441857,3,2,1,有,無,,0,0
441858,3,2,1,有,無,,0,0
441859,4,1,3,有,無,,0,0
441860,2,1,1,有,無,,0,0
441861,3,2,2,有,有,坡道平面,38.72000122,0
441862,3,2,2,有,無,,0,0
441863,0,0,0,有,無,,0,0
441864,1,1,1,有,有,,0,0
441865,0,0,0,有,有,坡道平面,36.52999878,400000
441866,2,1,1,有,無,,0,0
441867,3,2,2,有,有,坡道平面,39.95999908,500000
441868,1,0,1,有,有,,0,0
441869,3,1,1,有,無,,0,0
441870,0,0,0,無,無,,0,0
441871,4,2,2,有,有,,0,0
441872,0,0,0,有,無,,0,0
441873,4,2,2,有,無,,0,0
441874,3,2,2,有,無,,0,0
441875,2,2,2,有,有,,0,0
441876,0,0,1,無,無,,0,0
441877,2,2,2,有,有,,0,0
441878,3,2,2,有,無,,0,0
441879,3,2,2,有,有,坡道平面,0,0
441880,3,2,2,有,有,坡道平面,0,0
441881,0,0,0,有,有,坡道平面,23.31999969,680000
441882,3,2,2,有,有,升降機械,0,0
441883,4,2,2,有,無,,0,0
441884,3,2,2,有,有,,0,0
441885,3,2,2,有,無,,0,0
441886,1,1,1,有,有,,0,0
441887,3,2,2,有,無,坡道平面,0,0
441888,0,0,0,有,無,,0,0
441889,3,2,2,有,無,,0,0
441890,0,0,0,無,無,,0,0
441891,2,1,2,有,無,,0,0
