ID,F30,F32,F00,F01,F11
442924,RPVPMLSKOHIFFCC68CA,C,七堵區,3,2
442925,RPTNMLMLMHIFFCC57CA,C,安樂區,3,2
442926,RPXNMLNLMHIFFCC08CA,C,暖暖區,3,3
442927,RPVOMLNLMHIFFCC97CA,C,安樂區,3,9
442928,RPQNMLOLMHIFFCC47CA,C,安樂區,3,2
442929,RPTOMLOLMHIFFCC87CA,C,中山區,5,8
442930,RPPNMLRJNHIFFCC57CA,C,安樂區,3,3
442931,RPTOMLRJNHIFFCC08CA,C,暖暖區,1,4
442932,RPROMLQJNHIFFCC77CA,C,中山區,3,2
442933,RPUNMLNJNHIFFBC57CA,C,信義區,3,2
442934,RPQNMLLJNHIFFBC96CA,C,信義區,3,5
442935,RPQNMLQLMHIFFBC57CA,C,信義區,3,7
442936,RPPNMLRLMHIFFBC57CA,C,中正區,3,3
442937,RPRNMLTLMHIFFBC97CA,C,信義區,3,9
442938,RPPNMLPLMHIFFBC37CA,C,信義區,3,9
442939,RPQNMLRKNHIFFBC67CA,C,中正區,3,7
442940,RPWNMLMLMHIFFCC08EA,C,七堵區,3,2
442941,RPQNMLTKMHIFFBC87DA,C,信義區,3,8
442942,RPOOMLPLMHIFFCC57DA,C,七堵區,4,9
442943,RPUNMLMJNHIFFCC67DA,C,安樂區,2,4
442944,RPROMLOLMHIFFCC77DA,C,安樂區,3,2
442945,RPRNMLMLMHIFFBC37DA,C,中正區,4,3
442946,RPOOMLOLMHIFFBC37DA,C,中正區,2,4
442947,RPOOMLMJNHIFFBC07DA,C,中正區,4,3
442948,RPTOMLOKNHIFFCC08EA,C,安樂區,3,2
442949,RPVNMLOLMHIFFCC18EA,C,七堵區,3,5
442950,RPWNMLOLMHIFFCC28EA,C,安樂區,3,9
442951,RPQNMLQLMHIFFCC87EA,C,暖暖區,3,2
442952,RPVPMLKLNHIFFBC77CA,C,仁愛區,3,2
442953,RPWNMLOLMHIFFBC97CA,C,中正區,4,3
442954,RPXNMLOLMHIFFBC08CA,C,中正區,2,4
442955,RPTNMLNLMHIFFBC57CA,C,中正區,2,4
442956,RPRNMLLJNHIFFBC07CA,C,中正區,3,3
442957,RPROMLKMMHIFFBC27CA,C,中正區,4,3
442958,RPTNMLMJNHIFFBC37CA,C,中正區,4,9
442959,RPXNMLMJNHIFFBC77CA,C,中正區,3,2
442960,RPXNMLSJNHIFFBC38CA,C,信義區,3,2
442961,RPTNMLPKNHIFFBC77CA,C,信義區,3,9
442962,RPTOMLMJNHIFFCC57CA,C,安樂區,3,3
442963,RPUNMLLJNHIFFCC47CA,C,暖暖區,4,9
442964,RPRNMLQLMHIFFCC77CA,C,七堵區,4,3
442965,RPXOMLOLMHIFFCC28CA,C,安樂區,3,3
442966,RPSOMLTJNHIFFCC18CA,C,安樂區,3,7
442967,RPWOMLKKNHIFFCC77CA,C,暖暖區,4,3
442968,RPSNMLSJNHIFFCC97CA,C,安樂區,3,9
442969,RPUOMLOLMHIFFCC97CA,C,中山區,3,2
442970,RPOOMLOLMHIFFCC37CA,C,七堵區,3,1
442971,RPSOMLOLMHIFFCC77CA,C,七堵區,3,8
442972,RPUNMLNLMHIFFCC77CA,C,安樂區,4,8
442973,RPVNMLNLMHIFFCC87CA,C,安樂區,3,2
442974,RPXOMLKKNHIFFCC87CA,C,暖暖區,4,3
442975,RPQNMLNKNHIFFCC37CA,C,暖暖區,3,9
442976,RPQNMLPLMHIFFCC57CA,C,安樂區,4,3
442977,RPVOMLTLMHIFFCC58CA,C,七堵區,3,2
442978,RPROMLLJNHIFFCC27CA,C,七堵區,1,4
442979,RPXNMLRJNHIFFCC38CA,C,七堵區,3,2
442980,RPQNMLNJNHIFFBC17CA,C,中正區,3,9
442981,RPSNMLLJNHIFFBC17CA,C,中正區,4,3
442982,RPXNMLPLMHIFFBC18CA,C,仁愛區,3,2
442983,RPRNMLOLMHIFFBC47CA,C,信義區,3,8
442984,RPUNMLPLMHIFFBC87CA,C,信義區,3,9
442985,RPVNMLPLMHIFFBC97CA,C,中正區,3,3
442986,RPTNMLPLMHIFFBC87DA,C,中正區,4,3
442987,RPRNMLQLMHIFFBC77DA,C,中正區,3,2
442988,RPSNMLPLMHIFFCC87DA,C,暖暖區,3,3
442989,RPWNMLPLMHIFFCC28DA,C,安樂區,4,3
442990,RPWNMLNLMHIFFCC08DA,C,暖暖區,3,2
442991,RPOOMLNLMHIFFCC37DA,C,暖暖區,3,7
442992,RPPOMLOLMHIFFCC57DA,C,中山區,3,2
442993,RPQOMLOLMHIFFCC67DA,C,安樂區,3,2
442994,RPPOMLTLMHIFFCC18EA,C,安樂區,3,3
442995,RPWNMLPLMHIFFBC08CA,C,中正區,3,3
442996,RPPOMLTLMHIFFBC87CA,C,中正區,4,3
442997,RPQOMLLJNHIFFBC07CA,C,中正區,3,3
442998,RPPNMLQKNHIFFBC47CA,C,仁愛區,5,8
442999,RPTOMLOKNHIFFBC77CA,C,中正區,3,3
443000,RPPNMLPJNHIFFCC37CA,C,暖暖區,3,9
443001,RPSOMLLJNHIFFCC37CA,C,七堵區,1,4
443002,RPTOMLLJNHIFFCC47CA,C,七堵區,1,4
443003,RPUOMLLJNHIFFCC57CA,C,七堵區,1,4
443004,RPVNMLLJNHIFFCC57CA,C,暖暖區,1,4
443005,RPRUNLKMMHIFFCC08CA,C,安樂區,4,9
443006,RPSUNLKMMHIFFCC18CA,C,安樂區,3,2
443007,RPUOMLTLMHIFFCC48CA,C,安樂區,3,2
443008,RPUNMLQLMHIFFCC08CA,C,七堵區,4,9
443009,RPWPMLPKNHIFFCC38CA,C,七堵區,3,2
443010,RPVTNLKMMHIFFCC38CA,C,七堵區,4,9
443011,RPPNMLSKNHIFFCC77CA,C,七堵區,3,8
443012,RPTNMLLLNHIFFCC57CA,C,安樂區,4,2
443013,RPVNMLLLNHIFFCC77CA,C,安樂區,3,9
443014,RPPNMLLLNHIFFCC17CA,C,安樂區,3,2
443015,RPVNMLNJNHIFFBC67CA,C,中正區,3,7
443016,RPQNMLTLMHIFFBC87CA,C,中正區,3,7
443017,RPSNMLPLMHIFFBC67CA,C,中正區,3,3
443018,RPSOMLNJNHIFFCC77EA,C,中山區,3,2
443019,RPQUNLKMMHIFFCC08DA,C,暖暖區,3,2
443020,RPSNMLTLMHIFFCC28DA,C,安樂區,4,3
443021,RPPOMLKKNHIFFCC17DA,C,安樂區,3,9
443022,RPSNMLKMMHIFFBC37DA,C,信義區,3,9
443023,RPUNMLKMMHIFFBC57DA,C,仁愛區,3,3
443024,RPTNMLTLMHIFFBC28DA,C,中正區,2,4
443025,RPVNMLTLMHIFFBC48DA,C,中正區,3,3
443026,RPSOMLKMMHIFFBC47DA,C,中正區,3,3
443027,RPPOMLLJNHIFFBC07DA,C,中正區,3,3
443028,RPSNMLQLMHIFFBC87DA,C,仁愛區,3,2
443029,RPUNMLQJNHIFFBC97DA,C,信義區,3,9
443030,RPPNMLMKNHIFFCC27DA,C,中山區,3,2
443031,RPTOMLKKNHIFFCC57DA,C,安樂區,3,3
443032,RPWNMLKKNHIFFCC87EA,C,中山區,3,2
443033,RPWOMLKLNHIFFCC08EA,C,安樂區,3,3
443034,RPTNMLLJNHIFFBC27CA,C,仁愛區,2,4
443035,RPOOMLKMMHIFFBC96CA,C,信義區,3,2
443036,RPOOMLNJNHIFFBC07CA,C,中正區,4,3
443037,RPRNMLMJNHIFFBC17CA,C,仁愛區,3,7
443038,RPSNMLMJNHIFFBC27CA,C,仁愛區,3,2
443039,RPUOMLRJNHIFFBC08CA,C,中正區,3,8
443040,RPURMLTJNHIFFBC58CA,C,中正區,3,7
443041,RPUNMLSJNHIFFBC08CA,C,仁愛區,2,4
443042,RPWNMLQJNHIFFBC08CA,C,中正區,3,3
443043,RPUNMLRKNHIFFBC08CA,C,仁愛區,5,12
443044,RPSNMLKLNHIFFBC27CA,C,中正區,3,3
443045,RPQOMLNLNHIFFBC47CA,C,中正區,3,2
443046,RPQNMLLLNHIFFCC27CA,C,中山區,3,2
443047,RPQNMLQLNHIFFCC77CA,C,安樂區,4,2
443048,RPTOMLTLMHIFFCC38CA,C,安樂區,3,2
443049,RPROMLTLMHIFFCC18CA,C,暖暖區,3,3
443050,RPXNMLLJNHIFFCC77CA,C,七堵區,4,9
443051,RPUOMLQJNHIFFCC08CA,C,安樂區,3,2
443052,RPTOMLQJNHIFFCC97CA,C,安樂區,3,8
443053,RPOOMLMJNHIFFCC07CA,C,安樂區,3,3
443054,RPQOMLMJNHIFFCC27CA,C,七堵區,4,3
443055,RPWNMLNJNHIFFCC87CA,C,安樂區,4,3
443056,RPWNMLSJNHIFFCC38CA,C,安樂區,3,2
443057,RPXNMLSJNHIFFCC48CA,C,安樂區,3,9
443058,RPOOMLSJNHIFFCC67CA,C,暖暖區,3,3
443059,RPPNMLQKNHIFFCC57CA,C,安樂區,3,9
443060,RPOOMLKKNHIFFCC96CA,C,七堵區,3,2
443061,RPUOMLSJNHIFFCC28CA,C,安樂區,3,7
443062,RPQOMLMLNHIFFCC47CA,C,安樂區,3,9
443063,RPRNMLLLNHIFFCC37CA,C,安樂區,3,2
443064,RPSOMLMLNHIFFCC67CA,C,安樂區,3,8
443065,RPPOMLNLNHIFFBC37CA,C,信義區,3,9
443066,RPQNMLQLNHIFFBC67CA,C,中正區,3,2
443067,RPVOMLKLNHIFFBC67CA,C,信義區,3,2
443068,RPTQMLKKNHIFFBC57CA,C,中正區,4,3
443069,RPSOMLPKNHIFFBC77CA,C,中正區,3,2
443070,RPROMLLJNHIFFBC17CA,C,中正區,4,3
443071,RPSOMLTLMHIFFBC18CA,C,中正區,2,4
443072,RPTNMLKMMHIFFBC37CA,C,信義區,3,8
443073,RPQNMLQJNHIFFCC77EA,C,暖暖區,1,4
443074,RPPOMLQJNHIFFCC77EA,C,七堵區,1,4
443075,RPTWMLKMMHIFFCC58EA,C,安樂區,3,2
443076,RPROMLMJNHIFFCC57EA,C,七堵區,3,2
443077,RPWOMLTLMHIFFCC78DA,C,安樂區,3,5
443078,RPXOMLTLMHIFFCC88DA,C,中山區,3,2
443079,RPQNMLKMMHIFFCC27DA,C,暖暖區,3,9
443080,RPTTNLKMMHIFFCC28DA,C,安樂區,4,9
443081,RPTNMLLJNHIFFCC47DA,C,暖暖區,3,2
443082,RPVNMLQJNHIFFBC08DA,C,信義區,3,2
443083,RPXNMLNJNHIFFBC97DA,C,信義區,4,7
443084,RPVTMLNKNHIFFBC48DA,C,仁愛區,5,2
443085,RPWNMLKMMHIFFBC77DA,C,中正區,3,9
443086,RPRNMLPJNHIFFCC67DA,C,中山區,3,4
443087,RPOPMLKKNHIFFCC17DA,C,七堵區,3,2
443088,RPQNMLLJNHIFFCC27EA,C,中山區,4,9
443089,RPPNMLRJNHIFFBC67EA,C,信義區,1,4
443090,RPQOMLKMMHIFFBC17CA,C,信義區,2,4
443091,RPUOMLMJNHIFFBC57CA,C,中正區,3,3
443092,RPTNMLNJNHIFFBC47CA,C,信義區,5,4
443093,RPPOMLQKNHIFFBC57CA,C,中正區,3,3
443094,RPQNMLPKNHIFFBC47CA,C,中正區,3,2
443095,RPRTMLNKNHIFFBC97CA,C,信義區,3,2
443096,RPOOMLKKNHIFFBC86CA,C,信義區,3,7
443097,RPRNMLTJNHIFFBC87CA,C,信義區,4,9
443098,RPWNMLSJNHIFFBC28CA,C,中正區,3,2
443099,RPTNMLSJNHIFFBC97CA,C,仁愛區,3,2
443100,RPPOMLQJNHIFFBC47CA,C,中正區,2,4
443101,RPXNMLQKNHIFFBC28CA,C,信義區,4,9
443102,RPVNMLSLNHIFFBC38CA,C,信義區,2,4
443103,RPVOMLSJNHIFFCC38CA,C,七堵區,2,4
443104,RPROMLKKNHIFFCC27CA,C,七堵區,3,2
443105,RPUNMLLKNHIFFCC57CA,C,安樂區,4,8
443106,RPQOMLNKNHIFFCC47CA,C,安樂區,3,2
443107,RPPNMLPKNHIFFCC47CA,C,安樂區,3,9
443108,RPRPMLPKNHIFFCC87CA,C,暖暖區,3,9
443109,RPVOMLRJNHIFFCC28CA,C,七堵區,3,3
443110,RPWNMLMJNHIFFCC77CA,C,安樂區,4,9
443111,RPTNMLNJNHIFFCC57CA,C,安樂區,3,3
443112,RPOOMLQJNHIFFCC47CA,C,中山區,4,9
443113,RPVOMLQJNHIFFCC18CA,C,安樂區,3,2
443114,RPOOMLNJNHIFFCC17CA,C,安樂區,3,9
443115,RPRNMLNJNHIFFCC37CA,C,七堵區,3,8
443116,RPUOMLRJNHIFFCC18CA,C,安樂區,3,9
443117,RPQNMLRJNHIFFCC67CA,C,安樂區,3,8
443118,RPRNMLLJNHIFFCC17CA,C,安樂區,3,2
443119,RPVNMLMJNHIFFCC67CA,C,暖暖區,1,4
443120,RPQNMLPKNHIFFCC57CA,C,安樂區,3,2
443121,RPVOMLKKNHIFFCC67CA,C,暖暖區,4,3
443122,RPWNMLKLNHIFFCC77CA,C,安樂區,4,9
443123,RPROMLNLNHIFFCC67CA,C,安樂區,3,2
443124,RPPNMLOLNHIFFCC47CA,C,七堵區,4,11
443125,RPTNMLSKNHIFFBC08CA,C,仁愛區,3,2
443126,RPROMLKLNHIFFBC27CA,C,中正區,3,8
443127,RPRNMLSJNHIFFBC77CA,C,信義區,3,8
443128,RPTRMLTJNHIFFBC48CA,C,中正區,4,3
443129,RPRNMLNJNHIFFBC27CA,C,中正區,4,3
443130,RPSNMLNJNHIFFBC37CA,C,中正區,3,9
443131,RPUNMLOLNHIFFBC08EA,C,信義區,1,4
443132,RPOPMLSJNHIFFCC97EA,C,暖暖區,4,9
443133,RPQPMLSJNHIFFCC18EA,C,七堵區,3,2
443134,SPQPMLSJNHIFFCC28EA,C,七堵區,3,2
443135,RPTOMLSJNHIFFCC38EA,C,中山區,3,2
443136,RPQNMLKMNHIFFCC47EA,C,七堵區,4,2
443137,RPSOMLKKNHIFFCC47DA,C,暖暖區,3,9
443138,RPVOMLTJNHIFFCC58DA,C,安樂區,3,3
443139,RPTOMLNJNHIFFCC77DA,C,七堵區,3,3
443140,RPPNMLOJNHIFFCC37DA,C,安樂區,3,8
443141,RPPNMLMJNHIFFBC07DA,C,中正區,2,4
443142,RPTOMLMJNHIFFBC57DA,C,中正區,4,3
443143,RPTNMLQJNHIFFBC87DA,C,中正區,3,9
443144,RPVNMLNLNHIFFBC97DA,C,信義區,3,9
443145,RPOOMLQJNHIFFBC47DA,C,信義區,4,2
443146,RPPNMLQJNHIFFCC57DA,C,安樂區,3,9
443147,RPSNMLRJNHIFFCC97DA,C,安樂區,3,3
443148,RPQOMLTJNHIFFCC18EA,C,安樂區,3,3
443149,RPPNMLNJNHIFFCC37EA,C,七堵區,3,9
443150,RPXOMLTLNHIFFBC98EA,C,信義區,3,2
443151,RPROMLSJNHIFFBC87CA,C,仁愛區,3,2
443152,RPXQMLKKNHIFFBC97CA,C,仁愛區,3,3
443153,RPPNMLLKNHIFFBC96CA,C,中正區,4,9
443154,RPRNMLRJNHIFFBC67CA,C,信義區,3,2
443155,RPQNMLMKNHIFFBC17CA,C,中正區,4,3
443156,RPXNMLPKNHIFFBC18CA,C,信義區,3,2
443157,RPRNMLQKNHIFFBC67CA,C,仁愛區,3,7
443158,RPQOMLOKNHIFFCC57CA,C,七堵區,3,2
443159,RPSNMLPKNHIFFCC77CA,C,中山區,3,2
443160,RPOOMLPKNHIFFCC47CA,C,中山區,3,2
443161,RPROMLRJNHIFFCC87CA,C,安樂區,3,9
443162,RPPOMLSJNHIFFCC77CA,C,安樂區,3,2
443163,RPQOMLSJNHIFFCC87CA,C,安樂區,3,9
443164,RPSOMLMJNHIFFCC47CA,C,安樂區,3,2
443165,RPPOMLNJNHIFFCC27CA,C,安樂區,3,3
443166,RPSOMLRJNHIFFCC97CA,C,安樂區,3,9
443167,RPVNMLRJNHIFFCC18CA,C,安樂區,3,8
443168,RPRNMLQKNHIFFCC77CA,C,安樂區,3,8
443169,RPVNMLKKNHIFFCC57CA,C,七堵區,1,4
443170,RPQTMLNKNHIFFBC87CA,C,仁愛區,3,2
443171,RPVNMLRJNHIFFBC08CA,C,仁愛區,3,2
443172,RPWNMLRJNHIFFBC18CA,C,信義區,3,9
443173,RPOOMLRJNHIFFBC47CA,C,信義區,4,9
443174,RPPOMLRJNHIFFBC57CA,C,信義區,4,9
443175,RPQOMLRJNHIFFBC67CA,C,信義區,3,9
443176,RPQNMLLKNHIFFBC07CA,C,仁愛區,3,2
443177,RPPOMLKKNHIFFBC96CA,C,中正區,3,3
443178,RPQNMLQJNHIFFBC47CA,C,信義區,3,2
443179,RPXNMLKLNHIFFBC77CA,C,中正區,3,7
443180,RPRNMLOLNHIFFBC57CA,C,中正區,3,3
443181,RPROMLTJNHIFFCC28EA,C,七堵區,3,2
443182,RPWNMLQJNHIFFCC28DA,C,安樂區,3,3
443183,RPXNMLQJNHIFFCC38DA,C,安樂區,3,2
443184,RPOOMLRJNHIFFCC67DA,C,安樂區,3,2
443185,RPPOMLRJNHIFFCC77DA,C,暖暖區,3,2
443186,RPUOMLTJNHIFFCC48DA,C,安樂區,3,3
443187,RPRSMLNKNHIFFBC97DA,C,中正區,3,9
443188,RPTNMLOJOHIFFBC77DA,C,仁愛區,5,2
443189,RPWNMLMLNHIFFBC87CA,C,中正區,3,2
443190,RPXNMLQJNHIFFBC18CA,C,中正區,3,12
443191,RPVQMLOKNHIFFBC18CA,C,仁愛區,3,9
443192,RPQOMLPKNHIFFBC57CA,C,中正區,3,7
443193,RPRNMLKKNHIFFCC17CA,C,安樂區,3,3
443194,RPUNMLSJNHIFFCC18CA,C,安樂區,3,2
443195,RPOOMLTJNHIFFCC77CA,C,安樂區,3,2
443196,RPQPMLPKNHIFFCC77CA,C,安樂區,3,3
443197,RPUPMLPKNHIFFCC18CA,C,暖暖區,4,9
443198,RPRNMLSJNHIFFCC87CA,C,暖暖區,3,2
443199,RPPOMLQJNHIFFCC57CA,C,暖暖區,3,9
443200,RPSOMLSLNHIFFCC28CA,C,安樂區,4,3
443201,RPXOMLNJOHIFFCC18CA,C,七堵區,3,2
443202,RPROMLSJNHIFFCC97CA,C,安樂區,3,2
443203,RPPOMLNKNHIFFCC37CA,C,暖暖區,2,4
443204,RPWNMLTJNHIFFCC48CA,C,七堵區,4,9
443205,RPRNMLTJNHIFFCC97CA,C,暖暖區,3,5
443206,RPPNMLLKNHIFFCC07CA,C,暖暖區,3,2
443207,RPROMLPKNHIFFBC67CA,C,中正區,4,9
443208,RPSNNLNKNHIFFBC57CA,C,仁愛區,3,8
443209,RPSTMLNKNHIFFBC08CA,C,中正區,3,2
443210,RPQOMLSJNHIFFBC77CA,C,仁愛區,3,2
443211,RPTOMLTJNHIFFBC18CA,C,信義區,3,2
443212,RPTOMLKLNHIFFBC47CA,C,信義區,3,9
443213,RPPNMLOLNHIFFBC37CA,C,仁愛區,3,12
443214,RPSNMLRJNHIFFBC87DA,C,中正區,4,3
443215,RPPNMLSJNHIFFCC77DA,C,暖暖區,3,9
443216,RPQNMLSJNHIFFCC87DA,C,暖暖區,3,9
443217,RPPOMLTJNHIFFCC97DA,C,暖暖區,3,2
443218,RPRNMLOKNHIFFCC67DA,C,安樂區,3,5
443219,RPSOMLSJNHIFFCC28EA,C,七堵區,3,8
443220,RPTNMLNJOHIFFBC77EA,C,中正區,3,3
443221,RPUOMLNJOHIFFBC97EA,C,中正區,5,2
443222,RPQNMLPJOHIFFCC77EA,C,七堵區,3,1
443223,RPWNMLTJNHIFFBC48DA,C,信義區,3,2
443224,RPQOMLTJNHIFFBC97DA,C,中正區,3,3
443225,RPVOMLTJNHIFFBC48DA,C,中正區,3,3
443226,RPRNNLNKNHIFFBC57DA,C,中正區,2,4
443227,RPSQMLOKNHIFFBC97DA,C,信義區,3,2
443228,RPWOMLRLNHIFFBC48CA,C,中正區,3,8
443229,RPVNMLKLNHIFFBC57CA,C,仁愛區,3,7
443230,RPRNMLKLNHIFFBC17CA,C,中正區,3,2
443231,RPUOMLTLNHIFFBC48CA,C,中正區,3,3
443232,RPVOMLTLNHIFFBC58CA,C,中正區,2,4
443233,RPQNMLOJOHIFFBC37CA,C,仁愛區,3,2
443234,RPROMLOJOHIFFBC57CA,C,中正區,3,9
443235,RPWNMLKKNHIFFBC57CA,C,中正區,4,3
443236,RPPNMLMKNHIFFBC07CA,C,中正區,4,9
443237,RPTTMLNKNHIFFBC18CA,C,中正區,4,3
443238,RPORMLOKNHIFFBC57CA,C,仁愛區,3,8
443239,RPROMLQKNHIFFBC77CA,C,信義區,3,8
443240,RPUNMLNKNHIFFCC77CA,C,中山區,3,2
443241,RPQNMLMKNHIFFCC27CA,C,安樂區,3,8
443242,RPVPMLPKNHIFFCC28CA,C,七堵區,3,2
443243,RPOOMLOKNHIFFCC37CA,C,暖暖區,3,2
443244,RPUNMLPKNHIFFCC97CA,C,七堵區,4,8
443245,RPWNMLPKNHIFFCC18CA,C,七堵區,4,8
443246,RPPNMLRKNHIFFCC67CA,C,七堵區,3,9
443247,RPOPMLNJOHIFFCC37CA,C,七堵區,3,2
443248,RPPOMLLMNHIFFCC37CA,C,中山區,3,2
443249,RPROMLMLNHIFFCC57CA,C,安樂區,3,7
443250,RPTNMLKLNHIFFCC47CA,C,七堵區,1,4
443251,RPTNMLNLNHIFFCC77CA,C,七堵區,3,2
443252,RPUNMLNLNHIFFCC87CA,C,七堵區,3,2
443253,RPXNMLMLNHIFFCC08CA,C,安樂區,4,9
443254,RPTNMLMLNHIFFCC67CA,C,安樂區,3,2
443255,RPQNMLMLNHIFFCC37CA,C,安樂區,3,2
443256,RPRNMLMLNHIFFCC47CA,C,七堵區,3,2
443257,RPQPMLKLNHIFFCC37CA,C,暖暖區,1,4
443258,RPVNMLOLNHIFFCC08CA,C,暖暖區,3,2
443259,RPPOMLSLNHIFFCC97CA,C,七堵區,3,2
443260,RPPPMLNJOHIFFCC47CA,C,七堵區,3,8
443261,RPWOMLNJOHIFFCC08CA,C,七堵區,3,2
443262,RPWNMLQKNHIFFCC28CA,C,安樂區,3,2
443263,RPPPMLPKNHIFFCC67CA,C,暖暖區,4,3
443264,RPWNMLNKNHIFFCC97CA,C,暖暖區,4,9
443265,RPTNMLNKNHIFFCC67CA,C,中山區,3,8
443266,RPSOMLOKNHIFFCC77CA,C,安樂區,3,2
443267,RPTOMLPKNHIFFBC87CA,C,中正區,1,4
443268,RPSRMLOKNHIFFBC97CA,C,中正區,3,9
443269,RPXNMLKKNHIFFBC67CA,C,信義區,3,9
443270,RPOOMLQKNHIFFBC47CA,C,中正區,3,9
443271,RPQOMLKLNHIFFBC17CA,C,信義區,3,8
443272,RPRNMLMLNHIFFBC37CA,C,仁愛區,3,9
443273,RPSPMLRLNHIFFBC18CA,C,中正區,2,4
443274,RPTPMLRLNHIFFBC28CA,C,中正區,2,4
443275,RPRNMLSLNHIFFBC97CA,C,信義區,3,9
443276,RPQUMLNKNHIFFBC08DA,C,信義區,3,9
443277,RPSNMLOKNHIFFCC77DA,C,中山區,3,8
443278,RPPNMLKKNHIFFCC07DA,C,七堵區,3,2
443279,RPRNMLKMNHIFFCC57EA,C,安樂區,3,2
443280,RPRNMLRLNHIFFCC18EA,C,安樂區,3,3
443281,RPUNMLKKNHIFFCC67EA,C,暖暖區,3,2
443282,RPXNMLKKNHIFFCC97EA,C,中山區,3,8
443283,RPRPMLNKNHIFFBC77EA,C,仁愛區,1,4
443284,RPQOMLKKNHIFFCC27DA,C,安樂區,3,2
443285,RPQOMLPKNHIFFCC77DA,C,安樂區,2,4
443286,RPUOMLKKNHIFFCC67DA,C,七堵區,3,3
443287,RPVNMLNKNHIFFCC97DA,C,七堵區,2,4
443288,RPWNMLNLNHIFFBC08DA,C,中正區,3,2
443289,RPTOMLRLNHIFFBC18CA,C,信義區,3,9
443290,RPROMLNLNHIFFBC57CA,C,中正區,3,3
443291,RPQNMLLLNHIFFBC17CA,C,仁愛區,3,3
443292,RPOOMLLLNHIFFBC07CA,C,中正區,3,2
443293,RPQNMLQJOHIFFBC57CA,C,信義區,4,7
443294,RPRNMLOJOHIFFBC47CA,C,中正區,3,3
443295,RPXSMLNKNHIFFBC48CA,C,信義區,3,2
443296,RPPTMLNKNHIFFBC77CA,C,中正區,3,2
443297,RPVNNLNKNHIFFBC87CA,C,仁愛區,3,2
443298,RPSOMLQKNHIFFBC87CA,C,信義區,4,2
443299,RPOOMLPKNHIFFBC37CA,C,仁愛區,3,2
443300,RPVNMLPKNHIFFBC97CA,C,中正區,2,4
443301,RPWNMLPKNHIFFBC08CA,C,中正區,4,7
443302,RPQNMLKKOHIFFBC07CA,C,仁愛區,5,12
443303,RPWNMLOKNHIFFCC08CA,C,中山區,3,2
443304,RPXNMLNKNHIFFCC08CA,C,暖暖區,3,4
443305,RPPNMLNKNHIFFCC27CA,C,安樂區,3,2
443306,RPSNMLNKNHIFFCC57CA,C,七堵區,3,3
443307,RPUOMLPKNHIFFCC08CA,C,七堵區,3,2
443308,RPSPMLPKNHIFFCC97CA,C,七堵區,3,8
443309,RPTPMLPKNHIFFCC08CA,C,安樂區,3,2
443310,RPTNMLQKNHIFFCC97CA,C,安樂區,3,9
443311,RPTOMLQKNHIFFCC08CA,C,七堵區,3,8
443312,RPWNMLTLNHIFFCC68CA,C,安樂區,3,2
443313,RPOOMLTLNHIFFCC97CA,C,暖暖區,3,7
443314,RPSNMLKMNHIFFCC47CA,C,中山區,3,8
443315,RPROMLOLNHIFFCC77CA,C,七堵區,3,2
443316,RPSOMLOLNHIFFCC87CA,C,七堵區,3,2
443317,RPPOMLNLNHIFFCC47CA,C,七堵區,3,2
443318,RPQOMLNLNHIFFCC57CA,C,安樂區,3,3
443319,RPSNMLRLNHIFFCC08CA,C,七堵區,4,8
443320,RPSNMLMLNHIFFCC57CA,C,安樂區,3,5
443321,RPXNMLKLNHIFFCC87CA,C,安樂區,3,3
443322,RPVNMLMLNHIFFCC87CA,C,安樂區,4,2
443323,RPROMLTLNHIFFCC28CA,C,安樂區,3,8
443324,RPVNMLSLNHIFFCC48CA,C,安樂區,3,9
443325,RPRNMLRKNHIFFCC87CA,C,暖暖區,3,2
443326,RPSNMLQKNHIFFCC87CA,C,暖暖區,4,9
443327,RPVOMLPKNHIFFCC18CA,C,安樂區,3,7
443328,RPXOMLPKNHIFFCC38CA,C,暖暖區,3,9
443329,RPTNMLPKNHIFFCC87CA,C,中山區,3,2
443330,RPQNMLOKNHIFFCC47CA,C,安樂區,3,3
443331,RPVNMLOKNHIFFCC97CA,C,暖暖區,3,2
443332,RPUOMLOKNHIFFCC97CA,C,安樂區,3,2
443333,RPROMLOKNHIFFCC67CA,C,七堵區,4,9
443334,RPWNMLKKOHIFFBC67CA,C,中正區,4,5
443335,RPUQMLOKNHIFFBC08CA,C,信義區,4,9
443336,RPPRMLOKNHIFFBC67CA,C,中正區,2,4
443337,RPQRMLOKNHIFFBC77CA,C,中正區,2,4
443338,RPRRMLOKNHIFFBC87CA,C,中正區,2,4
443339,RPWNMLTLNHIFFBC58CA,C,信義區,4,9
443340,SPWNMLTLNHIFFBC68CA,C,信義區,3,9
443341,RPUNMLTLNHIFFBC38CA,C,信義區,4,9
443342,RPSNMLPKNHIFFBC67CA,C,仁愛區,3,2
443343,RPUNMLPKNHIFFBC97DA,C,中正區,4,3
443344,RPROMLPKNHIFFCC87DA,C,安樂區,3,3
443345,RPRNMLOKNHIFFCC77EA,C,七堵區,1,4
443346,RPPOMLNKOHIFFCC67EA,C,安樂區,4,2
443347,RPRNMLPKNHIFFCC77DA,C,安樂區,3,5
443348,RPQOMLQKNHIFFCC87DA,C,安樂區,3,2
443349,RPSNMLQKNHIFFBC87DA,C,信義區,3,9
443350,RPXQMLOKNHIFFBC48DA,C,信義區,3,8
