ID,F30,F32,F00,F01,F11
439693,RPOOMLNLQHHFFCC57CA,C,安樂區,3,4
439694,RPPOMLNLQHHFFCC67CA,C,安樂區,3,9
439695,SPPOMLNLQHHFFCC77CA,C,安樂區,2,4
439696,RPPNMLRKQHHFFCC87CA,C,暖暖區,4,3
439697,RPWNMLLLQHHFFBC97CA,C,中正區,3,7
439698,RPUNMLLLQHHFFBC77CA,C,信義區,3,2
439699,RPSOMLOJRHHFFBC87CA,C,中正區,3,7
439700,RPOOMLNKRHHFFBC47CA,C,信義區,4,9
439701,RPPOMLLKRHHFFBC37CA,C,仁愛區,3,2
439702,RPTNMLTJRHHFFBC38CA,C,中正區,2,4
439703,RPWNMLKKRHHFFBC87CA,C,仁愛區,3,2
439704,RPQNMLRJRHHFFBC87CA,C,中正區,3,7
439705,RPXNMLRJRHHFFBC58CA,C,中正區,3,7
439706,RPXNMLMLQHHFFBC18CA,C,中正區,3,2
439707,RPOOMLMLQHHFFBC37CA,C,中正區,4,3
439708,RPPOMLMLQHHFFBC47CA,C,信義區,3,2
439709,RPQOMLMLQHHFFBC57CA,C,信義區,3,2
439710,RPPNMLOLQHHFFCC67CA,C,安樂區,3,9
439711,RPSNMLOLQHHFFCC97CA,C,安樂區,3,2
439712,RPPOMLMLQHHFFCC57CA,C,安樂區,3,3
439713,RPPNMLKLQHHFFCC47EA,C,中山區,5,8
439714,RPXNMLLLQHHFFCC38EA,C,安樂區,3,9
439715,RPRNMLMLQHHFFCC87EA,C,安樂區,3,9
439716,RPTNMLOLQHHFFCC18DA,C,安樂區,3,2
439717,RPUOMLLMQHHFFBC08DA,C,中正區,3,3
439718,RPWNMLLKRHHFFBC08DA,C,信義區,4,2
439719,RPQNMLMKRHHFFBC57DA,C,中正區,4,7
439720,RPVOMLLMQHHFFBC18DA,C,中正區,4,3
439721,RPWNMLKMQHHFFBC08DA,C,仁愛區,3,5
439722,RPTOMLOKRHHFFBC18DA,C,中正區,3,3
439723,RPQOMLSLQHHFFCC38DA,C,安樂區,3,3
439724,RPVNMLNKRHHFFCC28DA,C,安樂區,3,2
439725,RPQNMLLMQHHFFCC77EA,C,安樂區,3,2
439726,RPXNMLMLQHHFFCC28CA,C,安樂區,3,2
439727,RPTNMLNLQHHFFCC97CA,C,安樂區,3,2
439728,RPVNMLNLQHHFFCC18CA,C,七堵區,4,12
439729,RPPOMLOLQHHFFCC77CA,C,七堵區,3,2
439730,RPPNMLOJRHHFFCC57CA,C,暖暖區,3,2
439731,RPVNMLQJRHHFFBC28CA,C,信義區,4,9
439732,RPUOMLOKRHHFFBC18CA,C,信義區,3,9
439733,RPQNMLRKRHHFFBC97CA,C,信義區,3,4
439734,RPPOMLOKRHHFFBC67CA,C,仁愛區,3,9
439735,RPQOMLLKRHHFFBC47CA,C,仁愛區,3,2
439736,RPROMLLKRHHFFBC57CA,C,仁愛區,3,2
439737,RPRPMLOKRHHFFBC08DA,C,中正區,3,2
439738,RPSNMLOKRHHFFBC97DA,C,仁愛區,3,3
439739,RPTNMLNKRHHFFBC97DA,C,信義區,3,9
439740,RPQNMLOJRHHFFBC67DA,C,信義區,4,9
439741,RPTOMLLMQHHFFBC97DA,C,中正區,3,3
439742,RPSNMLMLQHHFFCC87DA,C,安樂區,4,3
439743,RPQNMLNLQHHFFCC77DA,C,安樂區,3,2
439744,RPSNMLTJRHHFFBC28CA,C,中正區,4,3
439745,RPTNMLOLQHHFFBC97CA,C,信義區,3,9
439746,RPTNMLLMQHHFFBC77CA,C,中正區,3,2
439747,RPPNMLSKRHHFFBC97CA,C,中正區,3,3
439748,RPXNMLNLQHHFFCC38CA,C,安樂區,4,3
439749,RPTOMLMLQHHFFCC97CA,C,安樂區,3,2
439750,RPUOMLOJRHHFFCC18CA,C,安樂區,4,3
439751,RPQOMLNKRHHFFCC77CA,C,中山區,3,2
439752,RPXOMLKMQHHFFCC28CA,C,安樂區,3,3
439753,RPVOMLOKRHHFFBC28CA,C,仁愛區,4,7
439754,RPPNMLRLQHHFFBC87CA,C,仁愛區,1,4
439755,RPQOMLLLQHHFFBC47CA,C,仁愛區,3,2
439756,RPQNMLMLQHHFFBC47CA,C,中正區,2,4
439757,RPQNMLNLQHHFFBC67DA,C,中正區,3,2
439758,RPVNMLRJRHHFFBC48DA,C,信義區,3,2
439759,RPVNMLRKRHHFFBC58DA,C,仁愛區,3,2
439760,RPWNMLRLQHHFFCC88EA,C,中山區,3,8
439761,RPUNMLTKRHHFFCC88EA,C,安樂區,3,2
439762,RPSNMLSLQHHFFBC48EA,C,中正區,3,3
439763,RPSOMLOKRHHFFBC08DA,C,仁愛區,2,4
439764,RPSNMLRKRHHFFBC28DA,C,中正區,3,8
439765,RPRNMLOLQHHFFCC97DA,C,安樂區,1,4
439766,RPRNMLPJRHHFFCC97DA,C,安樂區,3,9
439767,RPUNMLOJRHHFFCC18DA,C,安樂區,3,2
439768,RPWOMLOJRHHFFBC28CA,C,中正區,3,12
439769,RPROMLNJRHHFFBC67CA,C,信義區,4,5
439770,RPTNMLSKRHHFFBC38CA,C,中正區,4,3
439771,RPVNMLSKRHHFFBC58CA,C,中正區,4,3
439772,RPWNMLSKRHHFFBC68CA,C,中正區,4,3
439773,RPXOMLNJRHHFFCC38CA,C,暖暖區,1,4
439774,RPWNMLNLQHHFFCC28CA,C,安樂區,3,2
439775,RPUNMLNLQHHFFCC08CA,C,七堵區,1,4
439776,RPPNMLTKRHHFFCC18CA,C,七堵區,3,3
439777,RPXNMLOJRHHFFCC38CA,C,安樂區,3,2
439778,RPOOMLOJRHHFFCC57CA,C,暖暖區,3,5
439779,RPTOMLOJRHHFFCC08CA,C,安樂區,3,9
439780,RPSNMLLKRHHFFCC67CA,C,暖暖區,3,9
439781,RPRNMLKKRHHFFCC47CA,C,七堵區,3,2
439782,RPUOMLMLJHIFFCC47CA,C,七堵區,4,3
439783,RPOPMLMLJHIFFCC96CA,C,七堵區,4,3
439784,RPPPMLMLJHIFFCC07CA,C,七堵區,4,3
439785,RPWOMLMLJHIFFCC67CA,C,七堵區,4,3
439786,SPWOMLMLJHIFFCC77CA,C,七堵區,4,3
439787,RPWNMLNLJHIFFCC67CA,C,七堵區,4,3
439788,RPOOMLNLJHIFFCC96CA,C,七堵區,4,3
439789,RPSOMLMLJHIFFCC27CA,C,七堵區,4,3
439790,RPTOMLMLJHIFFCC37CA,C,七堵區,4,3
439791,RPPOMLMLJHIFFCC96CA,C,七堵區,4,5
439792,RPWNMLRJRHHFFCC58CA,C,暖暖區,4,9
439793,RPQNMLKKRHHFFCC37CA,C,暖暖區,3,3
439794,RPPNMLLKRHHFFCC37CA,C,暖暖區,4,3
439795,RPVNMLLKRHHFFCC97CA,C,七堵區,2,4
439796,RPWNMLLKRHHFFCC08CA,C,七堵區,2,3
439797,SPWNMLLKRHHFFCC18CA,C,七堵區,2,3
439798,RPQNMLPJRHHFFCC77CA,C,中山區,3,8
439799,RPSNMLTKRHHFFCC48CA,C,七堵區,4,9
439800,RPWNMLSLQHHFFCC78CA,C,暖暖區,3,3
439801,RPWOMLTLQHHFFCC98CA,C,安樂區,3,3
439802,SPWOMLTLQHHFFCC09CA,C,安樂區,2,4
439803,RPUOMLSLQHHFFCC68CA,C,七堵區,3,2
439804,RPUNMLKMQHHFFCC87CA,C,七堵區,3,2
439805,RPXNMLSKRHHFFBC78CA,C,中正區,4,3
439806,RPROMLRKRHHFFBC18CA,C,信義區,4,9
439807,RPROMLSKRHHFFBC28CA,C,中正區,4,3
439808,RPPNMLTKRHHFFBC08CA,C,信義區,3,2
439809,RPRNMLTKRHHFFBC28CA,C,中正區,4,3
439810,RPXNMLLLRHHFFBC18CA,C,信義區,3,9
439811,RPWNMLMKRHHFFBC08CA,C,信義區,4,9
439812,RPOOMLMKRHHFFBC37CA,C,信義區,4,9
439813,RPQNMLLMQHHFFCC67DA,C,安樂區,4,3
439814,RPQNMLRLQHHFFCC18DA,C,中山區,3,2
439815,RPQOMLKLRHHFFBC67EA,C,仁愛區,3,9
439816,RPQNMLQLRHHFFCC28EA,C,中山區,5,8
439817,RPOOMLOJRHHFFCC77EA,C,安樂區,3,2
439818,RPTOMLTLQHHFFCC88EA,C,暖暖區,4,3
439819,RPXNMLRLQHHFFCC98EA,C,中山區,3,2
439820,RPPNMLQJRHHFFBC87EA,C,中正區,3,2
439821,RPXNMLSKRHHFFCC98DA,C,安樂區,3,3
439822,RPSNMLOLRHHFFCC18DA,C,安樂區,3,3
439823,RPQNMLLLRHHFFBC57DA,C,信義區,4,9
439824,RPRNMLLLRHHFFBC67DA,C,信義區,4,9
439825,RPPNMLOLRHHFFBC77DA,C,信義區,4,9
439826,RPTNMLMKRHHFFBC77CA,C,信義區,3,5
439827,RPPPMLNJRHHFFBC57CA,C,中正區,3,3
439828,RPVOMLOJRHHFFBC18CA,C,中正區,3,2
439829,RPXNMLOLRHHFFBC48CA,C,中正區,3,2
439830,RPWNMLOKRHHFFBC28CA,C,信義區,4,3
439831,RPXOMLTLQHHFFCC09CA,C,七堵區,4,3
439832,RPQOMLNJRHHFFCC67CA,C,暖暖區,1,4
439833,RPPNMLMKRHHFFCC47CA,C,安樂區,3,2
439834,RPRNMLMKRHHFFCC67CA,C,七堵區,3,3
439835,RPUNMLMKRHHFFCC97CA,C,七堵區,3,3
439836,RPQOMLMLJHIFFCC07CA,C,七堵區,4,3
439837,RPWNMLMLJHIFFCC57CA,C,七堵區,4,3
439838,RPOOMLMLJHIFFCC86CA,C,七堵區,4,3
439839,RPXNMLNLJHIFFCC77CA,C,七堵區,4,3
439840,SPXNMLNLJHIFFCC87CA,C,七堵區,3,3
439841,RPXOMLMLJHIFFCC77CA,C,七堵區,4,3
439842,RPRPMLMLJHIFFCC27CA,C,七堵區,4,5
439843,RPSPMLMLJHIFFCC37CA,C,七堵區,4,3
439844,RPVNMLRJRHHFFCC48CA,C,安樂區,3,2
439845,RPSNMLSKRHHFFCC38CA,C,中山區,3,2
439846,RPQNMLKMQHHFFCC47CA,C,七堵區,3,2
439847,RPXNMLSLQHHFFCC88CA,C,暖暖區,3,3
439848,RPROMLTLQHHFFCC58DA,C,安樂區,3,2
439849,RPTOMLTLQHHFFCC78DA,C,安樂區,3,9
439850,RPOOMLSKRHHFFCC18DA,C,安樂區,5,4
439851,RPRNMLOKRHHFFCC97DA,C,安樂區,3,3
439852,RPTNMLKMQHHFFCC77CA,C,安樂區,3,2
439853,RPROMLNJRHHFFCC77CA,C,暖暖區,1,4
439854,RPSOMLNJRHHFFCC87CA,C,暖暖區,1,4
439855,RPTOMLNJRHHFFCC97CA,C,暖暖區,1,4
439856,RPUOMLNJRHHFFCC08CA,C,暖暖區,1,4
439857,RPVOMLNJRHHFFCC18CA,C,暖暖區,1,4
439858,RPWOMLNJRHHFFCC28CA,C,暖暖區,1,4
439859,RPPPMLNJRHHFFCC67CA,C,暖暖區,3,9
439860,RPQNMLOJRHHFFCC67CA,C,安樂區,3,3
439861,RPPOMLKKRHHFFCC37CA,C,安樂區,3,2
439862,RPUOMLQJRHHFFCC38CA,C,暖暖區,3,2
439863,RPTNMLQJRHHFFCC18CA,C,中山區,3,8
439864,RPPOMLQJRHHFFCC87CA,C,暖暖區,3,2
439865,RPROMLPJJIHFFCC27CA,C,七堵區,4,9
439866,RPVNMLOKRHHFFBC18CA,C,中正區,3,8
439867,RPUOMLOJRHHFFBC08CA,C,中正區,3,2
439868,RPVNMLKKRHHFFBC77CA,C,信義區,3,2
439869,RPPOMLOJRHHFFBC57CA,C,中正區,4,3
439870,RPWNMLNJRHHFFBC08CA,C,中正區,3,7
439871,RPXNMLLMQHHFFBC18CA,C,中正區,3,2
439872,RPSOMLOJRHHFFCC97CA,C,中山區,3,7
439873,RPXOMLMKRHHFFCC38CA,C,七堵區,3,3
439874,RPSOMLQJRHHFFCC18CA,C,安樂區,3,2
439875,RPROMLMLJHIFFCC17CA,C,七堵區,4,3
439876,RPVOMLMLJHIFFCC57CA,C,七堵區,4,3
439877,RPWOMLSLQHHFFCC98DA,C,七堵區,3,2
439878,RPQOMLTLQHHFFCC48DA,C,安樂區,3,9
439879,RPOQMLNJRHHFFCC77DA,C,暖暖區,3,8
439880,RPWNMLPJRHHFFCC48DA,C,安樂區,3,9
439881,RPPNMLQLRHHFFBC97DA,C,信義區,3,8
439882,RPWNMLQLRHHFFBC68DA,C,中正區,4,3
439883,RPOPMLOKRHHFFBC87EA,C,中正區,3,3
439884,RPVNMLPJRHHFFBC38EA,C,信義區,3,3
439885,RPQOMLQLRHHFFBC28EA,C,信義區,3,9
439886,RPQNMLSLRHHFFBC38EA,C,信義區,3,9
439887,RPUNMLRJRHHFFCC58EA,C,安樂區,4,3
439888,RPPNMLKLRHHFFBC37DA,C,信義區,3,9
439889,RPWOMLQJRHHFFCC68DA,C,安樂區,4,3
439890,RPSPMLMKRHHFFCC97CA,C,安樂區,4,8
439891,RPQNMLLLRHHFFCC57CA,C,安樂區,3,3
439892,RPWOMLTKIIHFFCC18CA,C,安樂區,3,9
439893,RPUOMLNJRHHFFBC97CA,C,中正區,3,2
439894,RPUNMLQLRHHFFBC38CA,C,中正區,2,4
439895,RPPNMLRLRHHFFBC97CA,C,中正區,3,3
439896,RPQNMLTJRHHFFBC08CA,C,中正區,3,3
439897,RPUNMLNJRHHFFBC87CA,C,中正區,3,3
439898,RPTOMLMKRHHFFBC87CA,C,仁愛區,5,8
439899,RPQOMLMLIIHFFCC96CA,C,七堵區,1,4
439900,RPXNMLMLIIHFFCC57CA,C,七堵區,1,4
439901,RPXPMLNJRHHFFCC48CA,C,暖暖區,4,9
439902,RPRPMLNJRHHFFCC87CA,C,安樂區,3,9
439903,RPRNMLNJRHHFFCC67CA,C,安樂區,2,4
439904,RPOPMLQJRHHFFCC97DA,C,安樂區,3,2
439905,RPRNMLQJRHHFFCC08DA,C,安樂區,3,2
439906,RPSOMLPLRHHFFCC38DA,C,安樂區,3,2
439907,RPTNMLRLRHHFFBC48DA,C,中正區,3,2
439908,RPSNMLPLRHHFFBC18DA,C,信義區,3,2
439909,RPTNMLLMQHHFFCC08EA,C,安樂區,3,2
439910,RPROMLQLRHHFFBC38EA,C,信義區,3,9
439911,RPOOMLRLRHHFFBC18EA,C,信義區,3,2
439912,RPWNMLSLRHHFFBC98EA,C,仁愛區,3,2
439913,RPVNMLLKRHHFFBC97DA,C,中正區,3,3
439914,RPOOMLOJRHHFFBC57DA,C,中正區,3,9
439915,RPROMLLMQHHFFCC87DA,C,七堵區,3,2
439916,RPSPMLNJRHHFFCC97CA,C,安樂區,3,9
439917,RPTNMLOJRHHFFCC97CA,C,安樂區,3,8
439918,SPTNMLOJRHHFFCC08CA,C,安樂區,3,8
439919,RPVNMLOJRHHFFCC18CA,C,安樂區,3,8
439920,RPOOMLKKRHHFFCC27CA,C,安樂區,3,2
439921,RPXNMLLKRHHFFCC18CA,C,安樂區,4,9
439922,RPVOMLPLRHHFFCC58CA,C,七堵區,3,2
439923,RPXOMLMKRHHFFBC28CA,C,信義區,4,9
439924,RPOPMLMKRHHFFBC47CA,C,信義區,4,9
439925,RPPOMLMKRHHFFBC47CA,C,信義區,3,9
439926,RPQOMLMKRHHFFBC57CA,C,信義區,3,9
439927,RPROMLMKRHHFFBC67CA,C,信義區,4,9
439928,RPSOMLMKRHHFFBC77CA,C,信義區,4,9
439929,RPOOMLTJRHHFFBC97CA,C,中正區,2,4
